district,date_start,date_end,dengue_A,dengue_B,dysentery_A,dysentery_B,encephalitis_A,encephalitis_B,enteric_fever_A,enteric_fever_B,food_poisoning_A,food_poisoning_B,leptospirosis_A,leptospirosis_B,typhus_f_A,typhus_f_B,viral_hep_A,viral_hep_B,rabies_A,rabies_B,chickenpox_A,chickenpox_B,meningitis_A,meningitis_B,leishmania_A,leishmania_B,tuberculosis_A,tuberculosis_B,wrcd_A,wrcd_B,lepto,dengue
Kandy,2018-04-21,2018-04-27,34,1037,0,21,0,4,0,1,0,6,3,15,4,40,0,10,0,0,7,120,0,8,0,6,62,100,0,0,3,34
Matale,2018-04-21,2018-04-27,25,321,0,5,0,1,0,0,0,10,3,17,0,1,0,3,0,0,1,15,0,4,1,39,61,100,0,0,3,25
Nuwara-Eliya,2018-04-21,2018-04-27,4,63,5,11,0,2,0,7,0,2,0,9,8,62,2,12,0,0,10,104,2,16,0,0,28,100,0,0,0,4
Galle,2018-04-21,2018-04-27,16,410,0,14,0,5,0,0,0,2,11,165,0,12,0,1,0,1,9,100,0,15,0,4,14,100,0,0,11,16
Hambantota,2018-04-21,2018-04-27,18,414,0,6,0,0,0,2,0,4,0,17,0,21,1,1,0,0,2,103,0,2,17,221,73,100,0,0,0,18
Matara,2018-04-21,2018-04-27,9,389,0,13,0,4,0,3,0,21,2,70,2,17,0,2,0,0,2,119,0,3,2,132,56,100,0,0,2,9
Jaffna,2018-04-21,2018-04-27,22,1227,6,51,0,0,0,20,2,196,1,5,8,204,0,0,0,0,19,135,0,6,0,1,34,93,0,0,1,22
Kilinochchi,2018-04-21,2018-04-27,10,114,1,10,0,1,0,8,0,1,1,2,2,7,0,0,0,1,0,22,0,0,0,0,50,100,0,0,1,10
Mannar,2018-04-21,2018-04-27,1,25,0,10,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,16,0,1,0,0,35,100,0,0,0,1
Vavuniya,2018-04-21,2018-04-27,5,184,1,5,0,3,1,23,0,7,3,17,0,7,0,0,0,1,3,19,0,1,0,3,55,100,0,0,3,5
Mullaitivu,2018-04-21,2018-04-27,1,29,0,2,0,0,0,6,0,9,0,6,0,2,0,0,0,0,1,6,0,0,0,1,10,100,0,0,0,1
Batticaloa,2018-04-21,2018-04-27,166,2057,6,66,0,5,0,2,5,14,2,15,0,1,0,2,0,1,2,47,1,9,0,0,63,100,0,0,2,166
Ampara,2018-04-21,2018-04-27,30,1104,2,32,0,0,0,2,2,17,0,21,0,0,0,4,0,0,5,146,0,9,0,2,118,200,0,0,0,30
Trincomalee,2018-04-21,2018-04-27,21,296,0,22,0,0,2,4,0,8,0,18,0,13,0,1,0,0,4,91,0,1,1,10,31,100,0,0,0,21
Kurunegala,2018-04-21,2018-04-27,25,1060,10,52,0,5,1,7,0,2,0,37,0,6,0,7,0,1,15,196,0,34,3,76,69,100,0,0,0,25
Puttalam,2018-04-21,2018-04-27,13,972,1,16,0,4,0,3,0,4,0,12,0,6,0,1,0,0,2,56,2,31,0,1,74,100,0,0,0,13
Anuradhapura,2018-04-21,2018-04-27,11,316,2,18,0,2,0,2,0,6,1,49,0,12,0,4,0,0,8,144,1,10,6,119,44,100,0,0,1,11
Polonnaruwa,2018-04-21,2018-04-27,2,100,0,10,0,1,0,0,0,6,0,50,0,0,0,2,0,0,2,76,0,6,4,64,66,100,0,0,0,2
Badulla,2018-04-21,2018-04-27,5,169,0,38,2,4,0,5,0,7,1,50,2,23,0,10,0,0,4,219,1,33,0,2,50,100,0,0,1,5
Monaragala,2018-04-21,2018-04-27,17,420,2,36,0,2,0,1,0,2,7,118,4,56,0,5,0,0,1,60,3,16,0,16,60,100,0,0,7,17
Ratnapura,2018-04-21,2018-04-27,49,648,4,60,2,22,0,8,0,2,12,134,2,17,0,6,0,1,10,124,1,41,0,105,40,100,0,0,12,49
Kegalle,2018-04-21,2018-04-27,17,452,1,21,0,5,0,2,2,60,5,39,1,33,0,7,0,0,9,136,0,16,0,3,66,100,0,0,5,17
Colombo,2018-04-14,2018-04-20,72,2444,2,23,4,17,6,60,2,3,14,267,19,63,100,0,0,0,0,0,0,0,0,0,0,0,0,0,14,72
Gampaha,2018-04-14,2018-04-20,44,1451,1,16,0,4,0,11,1,10,5,90,0,2,0,4,0,0,22,279,1,13,0,4,75,100,0,0,5,44
Kalutara,2018-04-14,2018-04-20,16,1095,0,23,0,2,1,2,0,32,12,152,0,2,0,5,0,0,8,202,1,27,1,2,54,100,0,0,12,16
Kandy,2018-04-14,2018-04-20,33,1003,2,21,0,4,0,1,1,6,0,12,3,36,1,10,0,0,4,113,1,8,0,6,63,100,0,0,0,33
Matale,2018-04-14,2018-04-20,8,296,0,5,0,1,0,0,0,10,0,14,0,1,0,3,0,0,1,14,1,4,1,38,59,100,0,0,0,8
Nuwara-Eliya,2018-04-14,2018-04-20,6,59,0,6,0,2,2,7,0,2,1,9,3,54,2,10,0,0,8,94,3,14,0,0,26,100,0,0,1,6
Galle,2018-04-14,2018-04-20,13,394,0,14,0,5,0,0,0,2,12,154,0,12,0,1,0,1,2,91,0,15,0,4,14,100,0,0,12,13
Hambantota,2018-04-14,2018-04-20,6,396,0,6,0,0,0,2,0,4,1,17,0,21,0,0,0,0,8,101,0,2,9,204,75,100,0,0,1,6
Matara,2018-04-14,2018-04-20,8,380,0,13,0,4,0,3,0,21,8,68,0,15,0,2,0,0,8,117,0,3,4,130,56,100,0,0,8,8
Jaffna,2018-04-14,2018-04-20,20,1205,2,45,0,0,0,20,1,194,0,4,4,196,0,0,0,0,5,116,1,6,0,1,35,93,0,0,0,20
Kilinochchi,2018-04-14,2018-04-20,3,104,1,9,0,1,0,8,1,1,0,1,1,5,0,0,0,1,0,22,0,0,0,0,47,100,0,0,0,3
Mannar,2018-04-14,2018-04-20,1,24,0,10,0,0,0,2,0,2,0,1,0,0,0,0,0,0,2,16,0,1,0,0,37,100,0,0,0,1
Vavuniya,2018-04-14,2018-04-20,2,179,2,4,0,3,1,22,0,7,1,14,1,7,0,0,0,1,0,16,0,1,0,3,55,100,0,0,1,2
Mullaitivu,2018-04-14,2018-04-20,1,28,0,2,0,0,1,6,0,9,0,6,0,2,0,0,0,0,1,5,0,0,0,1,11,100,0,0,0,1
Batticaloa,2018-04-14,2018-04-20,133,1891,3,60,0,5,0,2,0,9,0,13,0,1,1,2,0,1,0,45,1,8,0,0,64,100,0,0,0,133
Ampara,2018-04-14,2018-04-20,40,1074,0,30,0,0,0,2,1,15,1,21,0,0,0,4,0,0,11,141,2,9,0,2,119,200,0,0,1,40
Trincomalee,2018-04-14,2018-04-20,9,275,1,22,0,0,0,2,1,8,1,18,2,13,0,1,0,0,6,87,0,1,0,9,32,100,0,0,1,9
Kurunegala,2018-04-14,2018-04-20,15,1035,0,42,0,5,0,6,0,2,1,37,0,6,0,7,0,1,10,181,1,34,3,73,70,100,0,0,1,15
Puttalam,2018-04-14,2018-04-20,16,959,0,15,0,4,0,3,0,4,0,12,0,6,0,1,0,0,4,54,1,29,0,1,74,100,0,0,0,16
Anuradhapura,2018-04-14,2018-04-20,6,305,0,16,0,2,1,2,0,6,1,48,0,12,1,4,0,0,7,136,0,9,2,113,44,100,0,0,1,6
Polonnaruwa,2018-04-14,2018-04-20,4,98,0,10,0,1,0,0,0,6,0,50,0,0,1,2,0,0,5,74,0,6,0,60,67,100,0,0,0,4
Badulla,2018-04-14,2018-04-20,11,164,0,38,1,2,0,5,1,7,2,49,0,21,1,10,0,0,6,215,1,32,0,2,50,100,0,0,2,11
Monaragala,2018-04-14,2018-04-20,2,403,3,34,0,2,0,1,0,2,9,111,0,52,0,5,0,0,4,59,5,13,0,16,59,100,0,0,9,2
Ratnapura,2018-04-14,2018-04-20,28,599,1,56,0,20,1,8,0,2,7,122,1,15,1,6,0,1,5,114,1,40,9,105,41,100,0,0,7,28
Kegalle,2018-04-14,2018-04-20,12,435,2,20,0,5,0,2,1,58,2,34,2,32,0,7,0,0,8,127,1,16,0,3,66,100,0,0,2,12
Colombo,2018-04-07,2018-04-13,98,2372,2,21,17,5,54,31,253,18,63,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,98
Gampaha,2018-04-07,2018-04-13,53,1407,2,15,1,4,3,11,0,9,10,85,0,2,0,4,0,0,17,257,1,12,1,4,74,100,0,0,10,53
Kalutara,2018-04-07,2018-04-13,29,1079,4,23,0,2,0,1,0,32,26,140,0,2,1,5,0,0,19,194,2,26,0,1,54,100,0,0,26,29
Kandy,2018-04-07,2018-04-13,37,970,0,19,0,4,0,1,0,5,0,12,2,33,2,9,0,0,3,109,0,7,0,6,60,100,0,0,0,37
Matale,2018-04-07,2018-04-13,12,288,0,5,0,1,0,0,0,10,0,14,0,1,0,3,0,0,2,13,0,3,7,37,60,100,0,0,0,12
Nuwara-Eliya,2018-04-07,2018-04-13,4,53,2,6,1,2,0,5,0,2,0,8,4,51,0,8,0,0,1,86,0,11,0,0,25,100,0,0,0,4
Galle,2018-04-07,2018-04-13,13,381,1,14,0,5,0,0,0,2,20,142,1,12,0,1,0,1,8,89,0,15,0,4,14,100,0,0,20,13
Hambantota,2018-04-07,2018-04-13,19,390,2,6,0,0,1,2,0,4,1,16,1,21,0,0,0,0,7,93,0,2,33,195,73,100,0,0,1,19
Matara,2018-04-07,2018-04-13,21,372,2,13,1,4,0,3,1,21,8,60,3,15,0,2,0,0,7,109,0,3,15,126,55,100,0,0,8,21
Jaffna,2018-04-07,2018-04-13,28,1185,2,43,0,0,2,20,16,193,0,4,1,192,0,0,0,0,7,111,0,5,1,1,32,93,0,0,0,28
Kilinochchi,2018-04-07,2018-04-13,4,101,1,8,0,1,0,8,0,0,0,1,1,4,0,0,0,1,2,22,0,0,0,0,43,100,0,0,0,4
Mannar,2018-04-07,2018-04-13,3,23,0,10,0,0,0,2,0,2,0,1,0,0,0,0,0,0,1,14,0,1,0,0,36,100,0,0,0,3
Vavuniya,2018-04-07,2018-04-13,10,177,0,2,0,3,2,21,0,7,0,13,0,6,0,0,0,1,2,16,0,1,1,3,54,100,0,0,0,10
Mullaitivu,2018-04-07,2018-04-13,2,27,0,2,0,0,0,5,0,9,1,6,0,2,0,0,0,0,2,4,0,0,0,1,11,100,0,0,1,2
Batticaloa,2018-04-07,2018-04-13,116,1758,1,57,1,5,0,2,0,9,2,13,0,1,0,1,0,1,2,45,0,7,0,0,63,100,0,0,2,116
Ampara,2018-04-07,2018-04-13,39,1034,3,30,0,0,0,2,0,14,1,20,0,0,0,4,0,0,9,130,0,7,0,2,115,200,0,0,1,39
Trincomalee,2018-04-07,2018-04-13,12,266,3,21,0,0,0,2,0,7,2,17,2,11,0,1,0,0,6,81,0,1,2,9,30,100,0,0,2,12
Kurunegala,2018-04-07,2018-04-13,30,1020,4,42,0,5,2,6,0,2,0,36,0,6,1,7,0,1,10,171,6,33,5,70,69,100,0,0,0,30
Puttalam,2018-04-07,2018-04-13,12,943,1,15,0,4,0,3,0,4,2,12,0,6,0,1,0,0,7,50,2,28,0,1,75,100,0,0,2,12
Anuradhapura,2018-04-07,2018-04-13,10,299,1,16,0,2,0,1,0,6,2,47,0,12,1,3,0,0,7,129,3,9,4,111,42,100,0,0,2,10
Polonnaruwa,2018-04-07,2018-04-13,8,94,1,10,0,1,0,0,0,6,2,50,0,0,0,1,0,0,5,69,2,6,2,60,65,100,0,0,2,8
Badulla,2018-04-07,2018-04-13,9,153,1,38,0,1,0,5,1,6,2,47,0,21,1,9,0,0,13,209,4,31,0,2,50,100,0,0,2,9
Monaragala,2018-04-07,2018-04-13,15,401,0,31,0,2,0,1,0,2,8,102,7,52,0,5,0,0,3,55,2,8,4,16,58,100,0,0,8,15
Ratnapura,2018-04-07,2018-04-13,40,571,6,55,1,20,0,7,0,2,17,115,1,14,0,5,0,1,12,109,3,39,2,96,39,100,0,0,17,40
Kegalle,2018-04-07,2018-04-13,17,423,0,18,0,5,0,2,3,57,1,32,2,30,1,7,0,0,11,119,2,15,1,3,66,100,0,0,1,17
Colombo,2018-03-31,2018-04-06,75,2274,0,19,16,5,6,50,2,26,222,18,62,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,75
Gampaha,2018-03-31,2018-04-06,29,1354,0,13,0,3,0,8,0,9,4,75,0,2,1,4,0,0,19,240,0,11,1,3,74,100,0,0,4,29
Kalutara,2018-03-31,2018-04-06,26,1050,1,19,0,2,0,1,1,32,10,114,0,2,0,4,0,0,9,175,1,24,0,1,55,100,0,0,10,26
Kandy,2018-03-31,2018-04-06,52,933,1,19,0,4,0,1,3,5,0,12,1,31,2,7,0,0,14,106,0,7,0,6,61,100,0,0,0,52
Matale,2018-03-31,2018-04-06,7,276,2,5,0,1,0,0,0,10,1,14,0,1,0,3,0,0,0,11,0,3,1,30,61,100,0,0,1,7
Nuwara-Eliya,2018-03-31,2018-04-06,1,49,0,4,0,1,0,5,0,2,3,8,6,47,0,8,0,0,1,85,1,11,0,0,24,100,0,0,3,1
Galle,2018-03-31,2018-04-06,9,272,0,10,0,5,0,0,0,2,15,105,1,11,1,1,0,1,14,69,0,13,1,4,18,80,0,0,15,9
Hambantota,2018-03-31,2018-04-06,25,371,0,4,0,0,0,1,0,4,3,15,0,20,0,0,0,0,5,86,0,2,4,162,72,100,0,0,3,25
Matara,2018-03-31,2018-04-06,13,351,0,11,0,3,0,3,6,20,2,52,2,12,0,2,0,0,7,102,0,3,3,111,56,100,0,0,2,13
Jaffna,2018-03-31,2018-04-06,28,1157,1,41,0,0,1,18,3,177,0,4,3,191,0,0,0,0,6,104,0,5,0,0,33,93,0,0,0,28
Kilinochchi,2018-03-31,2018-04-06,4,97,1,7,0,1,0,8,0,0,0,1,0,3,0,0,0,1,2,20,0,0,0,0,44,100,0,0,0,4
Mannar,2018-03-31,2018-04-06,0,20,1,10,0,0,0,2,0,2,0,1,0,0,0,0,0,0,1,13,0,1,0,0,35,100,0,0,0,0
Vavuniya,2018-03-31,2018-04-06,8,167,0,2,0,3,1,19,0,7,1,13,0,6,0,0,0,1,2,14,0,1,2,2,56,100,0,0,1,8
Mullaitivu,2018-03-31,2018-04-06,1,25,0,2,0,0,0,5,0,9,0,5,0,2,0,0,0,0,0,2,0,0,0,1,14,83,0,0,0,1
Batticaloa,2018-03-31,2018-04-06,115,1642,3,56,0,4,1,2,0,9,2,11,0,1,0,1,0,1,2,43,0,7,0,0,62,100,0,0,2,115
Ampara,2018-03-31,2018-04-06,17,995,0,27,0,0,0,2,0,14,2,19,0,0,0,4,0,0,17,121,0,7,0,2,114,200,0,0,2,17
Trincomalee,2018-03-31,2018-04-06,10,244,2,17,0,0,0,2,0,7,1,15,0,9,0,1,0,0,1,73,0,1,0,6,34,92,0,0,1,10
Kurunegala,2018-03-31,2018-04-06,13,990,2,38,2,5,0,4,0,2,2,36,0,6,3,6,0,1,11,161,0,27,7,65,70,100,0,0,2,13
Puttalam,2018-03-31,2018-04-06,12,931,1,14,0,4,0,3,0,4,0,10,0,6,0,1,0,0,0,43,1,26,1,1,76,100,0,0,0,12
Anuradhapura,2018-03-31,2018-04-06,4,289,2,15,0,2,0,1,0,6,0,45,1,12,0,2,0,0,7,122,1,6,10,107,43,100,0,0,0,4
Polonnaruwa,2018-03-31,2018-04-06,3,82,0,9,0,1,0,0,0,6,1,47,0,0,0,1,0,0,6,62,0,4,3,52,71,92,0,0,1,3
Badulla,2018-03-31,2018-04-06,6,144,0,37,0,1,0,5,0,5,7,45,2,21,0,8,0,0,4,196,0,27,0,2,50,100,0,0,7,6
Monaragala,2018-03-31,2018-04-06,5,386,0,31,0,2,0,1,0,2,4,94,2,45,0,5,0,0,5,52,0,6,0,12,57,100,0,0,4,5
Ratnapura,2018-03-31,2018-04-06,20,531,1,49,0,19,1,7,0,2,13,98,0,13,0,5,0,1,6,97,2,36,5,94,40,100,0,0,13,20
Kegalle,2018-03-31,2018-04-06,22,406,0,18,1,5,0,2,4,54,0,31,2,28,0,6,0,0,4,108,0,13,1,2,67,100,0,0,0,22
Colombo,2018-03-24,2018-03-30,100,2199,2,19,15,5,4,44,25,196,17,60,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,100
Gampaha,2018-03-24,2018-03-30,44,1325,3,13,0,3,0,8,2,9,14,71,1,2,1,3,0,0,21,221,0,11,0,2,73,100,0,0,14,44
Kalutara,2018-03-24,2018-03-30,73,1024,2,18,0,2,0,1,15,31,15,104,0,2,0,4,0,0,18,166,1,23,0,1,56,100,0,0,15,73
Kandy,2018-03-24,2018-03-30,30,881,2,18,0,4,0,1,0,2,0,12,2,30,0,5,0,0,16,92,0,7,1,6,58,100,0,0,0,30
Matale,2018-03-24,2018-03-30,14,269,0,3,0,1,0,0,2,10,1,13,0,1,0,3,0,0,3,11,0,3,2,29,59,100,0,0,1,14
Nuwara-Eliya,2018-03-24,2018-03-30,2,48,0,4,0,1,0,5,0,2,0,5,1,41,1,8,0,0,8,84,0,10,0,0,21,100,0,0,0,2
Galle,2018-03-24,2018-03-30,7,223,1,8,0,5,0,0,0,1,7,71,0,9,0,0,0,1,1,41,1,13,0,2,23,63,0,0,7,7
Hambantota,2018-03-24,2018-03-30,15,346,1,4,0,0,0,1,4,4,3,12,1,20,0,0,0,0,12,81,0,2,25,158,70,100,0,0,3,15
Matara,2018-03-24,2018-03-30,19,338,1,11,0,3,1,3,0,14,3,50,0,10,0,2,0,0,10,95,0,3,19,108,55,100,0,0,3,19
Jaffna,2018-03-24,2018-03-30,47,1129,1,40,0,0,2,17,0,174,0,4,5,188,0,0,0,0,13,98,0,5,0,0,30,93,0,0,0,47
Kilinochchi,2018-03-24,2018-03-30,4,93,0,6,0,1,0,8,0,0,0,1,1,3,0,0,0,1,0,18,0,0,0,0,42,100,0,0,0,4
Mannar,2018-03-24,2018-03-30,1,20,0,9,0,0,0,2,0,2,0,1,0,0,0,0,0,0,2,12,0,1,0,0,33,100,0,0,0,1
Vavuniya,2018-03-24,2018-03-30,10,159,0,2,0,3,1,18,0,7,0,12,0,6,0,0,0,1,2,12,0,1,0,0,54,100,0,0,0,10
Mullaitivu,2018-03-24,2018-03-30,3,24,0,2,0,0,1,5,0,9,1,5,0,2,0,0,0,0,1,2,0,0,0,1,15,83,0,0,1,3
Batticaloa,2018-03-24,2018-03-30,104,1527,3,53,0,4,1,1,2,9,1,9,0,1,0,1,0,1,8,41,0,7,0,0,61,100,0,0,1,104
Ampara,2018-03-24,2018-03-30,44,978,1,27,0,0,0,2,0,14,0,17,0,0,0,4,0,0,3,104,0,7,0,2,110,200,0,0,0,44
Trincomalee,2018-03-24,2018-03-30,9,234,0,15,0,0,1,2,0,7,3,14,0,9,0,1,0,0,6,72,0,1,0,6,32,100,0,0,3,9
Kurunegala,2018-03-24,2018-03-30,38,977,1,36,1,3,0,4,0,2,0,34,0,6,0,3,0,1,12,150,5,27,9,58,68,100,0,0,0,38
Puttalam,2018-03-24,2018-03-30,31,919,0,13,1,4,0,3,1,4,0,10,2,6,1,1,0,0,5,43,5,25,0,0,74,100,0,0,0,31
Anuradhapura,2018-03-24,2018-03-30,11,285,0,13,1,2,0,1,5,6,0,45,0,11,1,2,0,0,14,115,0,5,5,97,43,100,0,0,0,11
Polonnaruwa,2018-03-24,2018-03-30,5,79,0,9,0,1,0,0,0,6,3,46,0,0,0,1,0,0,8,56,0,4,7,49,69,93,0,0,3,5
Badulla,2018-03-24,2018-03-30,10,138,3,37,1,1,0,5,0,5,2,38,2,19,0,8,0,0,12,192,1,27,0,2,50,100,0,0,2,10
Monaragala,2018-03-24,2018-03-30,10,381,3,31,0,2,0,1,0,2,6,90,2,43,1,5,0,0,3,47,0,6,3,12,55,100,0,0,6,10
Ratnapura,2018-03-24,2018-03-30,37,511,3,48,1,19,1,6,0,2,9,85,0,13,1,5,0,1,5,91,1,34,0,89,39,100,0,0,9,37
Kegalle,2018-03-24,2018-03-30,21,384,1,18,0,4,0,2,6,50,5,31,3,26,0,6,0,0,9,104,2,13,1,1,67,100,0,0,5,21
Colombo,2018-03-17,2018-03-23,77,2099,3,17,14,0,5,4,40,21,171,15,59,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,77
Gampaha,2018-03-17,2018-03-23,41,1281,1,10,0,3,0,8,0,7,5,57,0,1,0,2,0,0,21,200,0,11,0,2,74,100,0,0,5,41
Kalutara,2018-03-17,2018-03-23,50,951,4,16,0,2,0,1,0,16,16,89,0,2,0,4,0,0,20,148,3,22,0,1,55,100,0,0,16,50
Kandy,2018-03-17,2018-03-23,35,851,4,16,1,4,0,1,0,2,1,12,3,28,1,5,0,0,13,76,1,7,0,5,58,100,0,0,1,35
Matale,2018-03-17,2018-03-23,21,255,0,3,0,1,0,0,2,8,2,12,0,1,2,3,0,0,0,8,0,3,2,27,60,100,0,0,2,21
Nuwara-Eliya,2018-03-17,2018-03-23,2,46,2,4,0,1,1,5,0,2,1,5,10,40,1,7,0,0,8,76,1,10,0,0,22,100,0,0,1,2
Galle,2018-03-17,2018-03-23,5,123,1,4,2,5,0,0,0,1,4,42,0,7,0,0,0,1,5,16,1,9,0,1,40,34,0,0,4,5
Hambantota,2018-03-17,2018-03-23,31,331,0,3,0,0,0,1,0,0,0,9,2,19,0,0,0,0,4,69,1,2,5,133,72,100,0,0,0,31
Matara,2018-03-17,2018-03-23,22,319,4,10,0,3,0,2,1,14,8,47,1,10,1,2,0,0,11,85,1,3,12,89,55,100,0,0,8,22
Jaffna,2018-03-17,2018-03-23,45,1083,5,38,0,0,1,15,162,174,0,4,9,183,0,0,0,0,11,88,0,5,0,0,33,93,0,0,0,45
Kilinochchi,2018-03-17,2018-03-23,6,89,1,6,1,1,0,8,0,0,0,1,0,2,0,0,0,1,3,18,0,0,0,0,45,100,0,0,0,6
Mannar,2018-03-17,2018-03-23,1,19,0,9,0,0,0,2,2,2,0,1,0,0,0,0,0,0,0,10,0,1,0,0,31,100,0,0,0,1
Vavuniya,2018-03-17,2018-03-23,10,149,0,2,2,3,0,17,1,7,1,12,0,6,0,0,0,1,0,10,0,1,0,0,52,100,0,0,1,10
Mullaitivu,2018-03-17,2018-03-23,2,21,0,2,0,0,0,4,4,9,0,4,0,2,0,0,0,0,0,1,0,0,1,1,15,100,0,0,0,2
Batticaloa,2018-03-17,2018-03-23,109,1423,5,50,0,4,0,0,0,7,0,8,0,1,0,1,0,1,8,33,0,7,0,0,63,100,0,0,0,109
Ampara,2018-03-17,2018-03-23,30,934,3,26,0,0,1,2,1,14,2,17,0,0,0,4,0,0,22,101,1,7,1,2,112,200,0,0,2,30
Trincomalee,2018-03-17,2018-03-23,4,225,0,15,0,0,0,1,1,7,0,11,0,9,0,1,0,0,6,66,0,1,0,6,33,99,0,0,0,4
Kurunegala,2018-03-17,2018-03-23,42,939,5,35,0,2,0,4,0,2,2,34,0,6,1,3,0,1,15,138,3,22,1,49,69,100,0,0,2,42
Puttalam,2018-03-17,2018-03-23,18,888,1,13,1,3,0,3,1,3,0,10,0,4,0,0,0,0,13,38,4,20,0,0,74,100,0,0,0,18
Anuradhapura,2018-03-17,2018-03-23,10,274,0,13,0,1,0,1,1,1,2,45,0,11,1,1,0,0,15,101,0,5,19,92,45,100,0,0,2,10
Polonnaruwa,2018-03-17,2018-03-23,2,74,0,9,0,1,0,0,0,6,1,43,0,0,0,1,0,0,2,48,0,4,1,42,68,94,0,0,1,2
Badulla,2018-03-17,2018-03-23,4,128,0,33,0,0,0,5,0,5,2,34,1,16,2,8,0,0,35,133,4,26,0,2,51,98,0,0,2,4
Monaragala,2018-03-17,2018-03-23,21,371,2,28,0,2,0,1,0,2,6,84,3,41,0,4,0,0,2,44,1,6,1,9,55,100,0,0,6,21
Ratnapura,2018-03-17,2018-03-23,41,474,2,45,0,18,1,5,0,2,8,76,3,13,0,4,0,1,9,86,4,33,2,89,40,100,0,0,8,41
Kegalle,2018-03-17,2018-03-23,24,363,4,17,0,4,0,2,4,44,2,26,4,23,0,6,0,0,15,95,3,11,0,0,68,100,0,0,2,24
Colombo,2018-03-10,2018-03-16,102,2022,2,14,12,5,36,19,150,14,59,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,102
Gampaha,2018-03-10,2018-03-16,60,1240,1,9,2,3,0,8,0,7,11,52,0,1,0,2,0,0,8,179,3,11,0,2,74,100,0,0,11,60
Kalutara,2018-03-10,2018-03-16,70,901,1,12,0,2,1,1,0,16,8,73,0,2,0,4,0,0,11,128,0,19,0,1,53,100,0,0,8,70
Kandy,2018-03-10,2018-03-16,29,816,0,12,0,3,0,1,0,2,3,11,4,25,0,4,0,0,10,63,0,6,0,5,57,100,0,0,3,29
Matale,2018-03-10,2018-03-16,13,234,0,3,0,1,0,0,1,6,1,10,0,1,0,1,0,0,0,8,0,3,5,25,63,100,0,0,1,13
Nuwara-Eliya,2018-03-10,2018-03-16,2,44,0,2,1,1,0,4,0,2,1,4,5,30,2,6,0,0,10,68,1,9,0,0,22,100,0,0,1,2
Galle,2018-03-10,2018-03-16,2,118,0,3,0,3,0,0,0,1,1,38,0,7,0,0,0,1,0,11,2,8,0,1,40,35,0,0,1,2
Hambantota,2018-03-10,2018-03-16,26,300,1,3,0,0,0,1,0,0,0,9,1,17,0,0,0,0,11,65,0,1,3,128,72,100,0,0,0,26
Matara,2018-03-10,2018-03-16,18,297,0,6,1,3,0,2,0,13,4,39,0,9,0,1,0,0,6,74,0,2,3,77,56,100,0,0,4,18
Jaffna,2018-03-10,2018-03-16,47,1038,3,33,0,0,0,14,0,12,0,4,10,174,0,0,0,0,11,77,0,5,0,0,34,93,0,0,0,47
Kilinochchi,2018-03-10,2018-03-16,9,83,0,5,0,0,0,8,0,0,0,1,0,2,0,0,0,1,12,15,0,0,0,0,45,100,0,0,0,9
Mannar,2018-03-10,2018-03-16,0,18,0,9,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,10,0,1,0,0,26,100,0,0,0,0
Vavuniya,2018-03-10,2018-03-16,11,139,0,2,0,1,5,17,0,6,1,11,0,6,0,0,0,1,0,10,0,1,0,0,50,100,0,0,1,11
Mullaitivu,2018-03-10,2018-03-16,0,19,1,2,0,0,1,4,0,5,1,4,0,2,0,0,0,0,1,1,0,0,0,0,19,84,0,0,1,0
Batticaloa,2018-03-10,2018-03-16,111,1314,5,45,0,4,0,0,0,7,1,8,0,1,0,1,0,1,3,25,0,7,0,0,64,100,0,0,1,111
Ampara,2018-03-10,2018-03-16,31,904,4,23,0,0,0,1,0,13,0,15,0,0,0,4,0,0,19,79,1,6,0,1,107,200,0,0,0,31
Trincomalee,2018-03-10,2018-03-16,16,221,2,15,0,0,0,1,1,6,2,11,0,9,1,1,0,0,8,60,0,1,1,6,34,100,0,0,2,16
Kurunegala,2018-03-10,2018-03-16,41,897,2,30,0,2,0,4,0,2,2,32,0,6,0,2,0,1,15,123,1,19,2,48,69,100,0,0,2,41
Puttalam,2018-03-10,2018-03-16,23,870,1,12,0,2,1,3,1,2,1,10,0,4,0,0,0,0,1,25,0,16,0,0,75,100,0,0,1,23
Anuradhapura,2018-03-10,2018-03-16,21,264,1,13,0,1,0,1,0,0,2,43,0,11,0,0,0,0,16,86,1,5,6,73,45,100,0,0,2,21
Polonnaruwa,2018-03-10,2018-03-16,4,72,0,9,0,1,0,0,0,6,1,42,0,0,0,1,0,0,2,46,0,4,6,41,67,94,0,0,1,4
Badulla,2018-03-10,2018-03-16,3,124,2,33,0,0,0,5,0,5,6,32,3,15,2,6,0,0,14,98,4,22,0,2,53,99,0,0,6,3
Monaragala,2018-03-10,2018-03-16,18,350,0,26,0,2,0,1,0,2,1,78,3,38,0,4,0,0,5,42,0,5,0,8,55,100,0,0,1,18
